31.1	2.8636
31.2	2.8743
31.3	2.8848
31.4	2.8949
31.5	2.9046
31.6	2.9138
31.7	2.9224
31.8	2.9306
31.9	2.9383
32.0	2.9456
32.1	2.9525
32.2	2.9590
32.3	2.9652
32.4	2.9711
32.5	2.9766
32.6	2.9819
32.7	2.9870
32.8	2.9919
32.9	2.9966
33.0	3.0014
33.1	3.0061
33.2	3.0109
33.3	3.0157
33.4	3.0208
33.5	3.0260
33.6	3.0316
33.7	3.0374
33.8	3.0437
33.9	3.0503
34.0	3.0572
34.1	3.0645
34.2	3.0720
34.3	3.0798
34.4	3.0878
34.5	3.0959
34.6	3.1041
34.7	3.1124
34.8	3.1208
34.9	3.1292
35.0	3.1375
35.1	3.1457
35.2	3.1539
35.3	3.1619
35.4	3.1697
35.5	3.1773
35.6	3.1847
35.7	3.1918
35.8	3.1986
35.9	3.2053
36.0	3.2117
36.1	3.2180
36.2	3.2241
36.3	3.2300
36.4	3.2358
36.5	3.2415
36.6	3.2470
36.7	3.2525
36.8	3.2579
36.9	3.2632
37.0	3.2685
37.1	3.2738
37.2	3.2790
37.3	3.2842
37.4	3.2894
37.5	3.2947
37.6	3.3000
37.7	3.3054
37.8	3.3109
37.9	3.3164
38.0	3.3219
38.1	3.3275
38.2	3.3332
38.3	3.3390
38.4	3.3448
38.5	3.3507
38.6	3.3566
38.7	3.3626
38.8	3.3686
38.9	3.3747
39.0	3.3809
39.1	3.3871
39.2	3.3934
39.3	3.3997
39.4	3.4061
39.5	3.4126
39.6	3.4191
39.7	3.4256
39.8	3.4323
39.9	3.4389
40.0	3.4456
40.1	3.4523
40.2	3.4591
40.3	3.4659
40.4	3.4727
40.5	3.4795
40.6	3.4863
40.7	3.4931
40.8	3.4999
40.9	3.5067
41.0	3.5134
41.1	3.5202
41.2	3.5269
41.3	3.5336
41.4	3.5402
41.5	3.5468
41.6	3.5533
41.7	3.5598
41.8	3.5662
41.9	3.5726
42.0	3.5789
42.1	3.5851
42.2	3.5913
42.3	3.5974
42.4	3.6035
42.5	3.6096
42.6	3.6157
42.7	3.6217
42.8	3.6277
42.9	3.6337
43.0	3.6398
43.1	3.6458
43.2	3.6518
43.3	3.6579
43.4	3.6640
43.5	3.6701
43.6	3.6763
43.7	3.6825
43.8	3.6887
43.9	3.6950
44.0	3.7014
44.1	3.7079
44.2	3.7144
44.3	3.7209
44.4	3.7275
44.5	3.7341
44.6	3.7407
44.7	3.7474
44.8	3.7540
44.9	3.7606
45.0	3.7672
45.1	3.7738
45.2	3.7803
45.3	3.7867
45.4	3.7931
45.5	3.7994
45.6	3.8055
45.7	3.8116
45.8	3.8176
45.9	3.8235
46.0	3.8292
46.1	3.8349
46.2	3.8405
46.3	3.8459
46.4	3.8513
46.5	3.8566
46.6	3.8618
46.7	3.8669
46.8	3.8720
46.9	3.8770
47.0	3.8819
47.1	3.8867
47.2	3.8915
47.3	3.8963
47.4	3.9010
47.5	3.9057
47.6	3.9103
47.7	3.9149
47.8	3.9194
47.9	3.9239
48.0	3.9283
48.1	3.9327
48.2	3.9371
48.3	3.9414
48.4	3.9457
48.5	3.9499
48.6	3.9540
48.7	3.9581
48.8	3.9621
48.9	3.9661
49.0	3.9700
49.1	3.9738
49.2	3.9776
49.3	3.9813
49.4	3.9850
49.5	3.9885
49.6	3.9920
49.7	3.9955
49.8	3.9988
49.9	4.0021
50.0	4.0054
50.1	4.0086
50.2	4.0117
50.3	4.0149
50.4	4.0180
50.5	4.0211
50.6	4.0242
50.7	4.0273
50.8	4.0304
50.9	4.0336
51.0	4.0367
51.1	4.0400
51.2	4.0432
51.3	4.0465
51.4	4.0499
51.5	4.0533
51.6	4.0568
51.7	4.0604
51.8	4.0641
51.9	4.0679
52.0	4.0717
52.1	4.0757
52.2	4.0798
52.3	4.0840
52.4	4.0883
52.5	4.0927
52.6	4.0971
52.7	4.1016
52.8	4.1062
52.9	4.1108
53.0	4.1154
53.1	4.1201
53.2	4.1247
53.3	4.1294
53.4	4.1341
53.5	4.1388
53.6	4.1435
53.7	4.1482
53.8	4.1528
53.9	4.1574
54.0	4.1619
54.1	4.1664
54.2	4.1709
54.3	4.1753
54.4	4.1796
54.5	4.1838
54.6	4.1880
54.7	4.1920
54.8	4.1960
54.9	4.1998
55.0	4.2035
55.1	4.2072
55.2	4.2106
55.3	4.2140
55.4	4.2172
55.5	4.2203
55.6	4.2233
55.7	4.2261
55.8	4.2289
55.9	4.2315
56.0	4.2341
56.1	4.2365
56.2	4.2390
56.3	4.2413
56.4	4.2436
56.5	4.2458
56.6	4.2481
56.7	4.2502
56.8	4.2524
56.9	4.2546
57.0	4.2567
57.1	4.2589
57.2	4.2610
57.3	4.2631
57.4	4.2652
57.5	4.2673
57.6	4.2694
57.7	4.2714
57.8	4.2735
57.9	4.2755
58.0	4.2775
58.1	4.2795
58.2	4.2814
58.3	4.2833
58.4	4.2852
58.5	4.2871
58.6	4.2889
58.7	4.2907
58.8	4.2925
58.9	4.2942
59.0	4.2959
59.1	4.2976
59.2	4.2993
59.3	4.3008
59.4	4.3024
59.5	4.3039
59.6	4.3054
59.7	4.3068
59.8	4.3082
59.9	4.3095
60.0	4.3108
60.1	4.3121
60.2	4.3133
60.3	4.3145
60.4	4.3156
60.5	4.3168
60.6	4.3178
60.7	4.3189
60.8	4.3199
60.9	4.3209
61.0	4.3219
61.1	4.3228
61.2	4.3237
61.3	4.3246
61.4	4.3255
61.5	4.3264
